Latitude,Longitude,Elevation
10638.78,14063.58,608.1871166383289
10653.29,14063.58,608.2125090995036
10667.8,14063.58,608.2491374933011
10682.31,14063.58,608.2945483426064
10696.82,14063.58,608.3296692876829
10711.33,14063.58,608.2987440086429
10725.84,14063.58,608.2330258752737
10740.35,14063.58,608.2211481767873
10754.86,14063.58,608.1426580737153
10769.369999999999,14063.58,608.1035023198465
10783.88,14063.58,608.0636463277368
10798.39,14063.58,608.0247955560574
10812.9,14063.58,607.9867487508584
10827.41,14063.58,607.8996078611308
10841.92,14063.58,607.8381751526821
10856.43,14063.58,607.8072293112375
10870.94,14063.58,607.7803577381889
10885.45,14063.58,607.7581526679293
10899.96,14063.58,607.7410490327024
10914.47,14063.58,607.7290956216618
10928.98,14063.58,607.6632993245618
10943.49,14063.58,607.6422593311785
9507.0,14049.37,614.2517369218564
9521.51,14049.37,614.2466161896743
9536.02,14049.37,614.0602835448994
9550.53,14049.37,613.8507239369493
9565.04,14049.37,613.6994761754323
9579.55,14049.37,613.5937103934252
9594.06,14049.37,613.4912285118147
9608.57,14049.37,613.3706065982493
9623.08,14049.37,613.2360387534869
9637.59,14049.37,613.1003990145389
9652.1,14049.37,612.9654725851773
9666.61,14049.37,612.8430081542339
9681.12,14049.37,612.7358475203754
9695.63,14049.37,612.6422572581743
9710.14,14049.37,612.5582822352145
9724.65,14049.37,612.2454150378786
9739.16,14049.37,612.3744118492073
9753.67,14049.37,612.2658971822289
9768.18,14049.37,611.8503822854046
9782.69,14049.37,611.4221128042341
9797.2,14049.37,611.2472619142723
9811.71,14049.37,611.0634667981627
9826.22,14049.37,610.2462476539832
9840.73,14049.37,610.0732058343293
9855.24,14049.37,609.9093795778293
9869.75,14049.37,609.7573890173362
9884.26,14049.37,609.1729892087977
9898.77,14049.37,609.0949793564378
9913.28,14049.37,609.0322216058127
9927.79,14049.37,608.9836719066773
9942.3,14049.37,608.9480040001295
9956.81,14049.37,608.9231452067298
9971.32,14049.37,608.7095158334259
9985.83,14049.37,608.7189233271362
10000.34,14049.37,608.7124037077601
10014.85,14049.37,608.6891953943043
10029.36,14049.37,608.6554056690715
10043.87,14049.37,608.6191706762928
10058.38,14049.37,608.5859711063629
10072.89,14049.37,608.5579105879741
10087.4,14049.37,608.534975304365
10101.91,14049.37,608.5162586756059
10116.42,14049.37,608.5006765800275
10130.93,14049.37,608.4872979580617
10145.44,14049.37,608.4911804412005
10159.95,14049.37,608.4819633991887
10174.46,14049.37,608.4743883992635
10188.97,14049.37,608.4687366492573
10203.48,14049.37,608.4654563165687
10217.99,14049.37,608.3828531352265
10232.5,14049.37,608.3314196532757
10247.01,14049.37,608.3397803125681
10261.52,14049.37,608.3501169999265
10276.03,14049.37,608.3607980225961
10290.54,14049.37,608.2941736391765
10305.05,14049.37,608.2223319392997
10319.56,14049.37,608.2836147328726
10334.07,14049.37,608.2372363644143
10348.58,14049.37,608.1972691913729
10363.09,14049.37,608.1543000745384
10377.6,14049.37,608.1124749922617
10392.11,14049.37,608.0584003625626
10406.62,14049.37,608.1355844127825
10421.13,14049.37,608.1150441397551
10435.64,14049.37,608.0994947726468
10450.15,14049.37,607.9752613123609
10464.66,14049.37,607.9728888398176
10479.17,14049.37,608.104820802722
10493.68,14049.37,608.1879773633125
10508.19,14049.37,608.1799980428535
10522.7,14049.37,608.1187438857639
10537.21,14049.37,608.1056362128553
10551.72,14049.37,608.1191563382694
10566.23,14049.37,608.1161081854998
10580.74,14049.37,608.1307073480918
10595.25,14049.37,608.1382947302008
10609.76,14049.37,608.1452041240289
10624.27,14049.37,608.1668995053222
10638.78,14049.37,608.1798132983506
10653.29,14049.37,608.2027787268296
10667.8,14049.37,608.2360307863545
10682.31,14049.37,608.2746309271291
10696.82,14049.37,608.2971364797476
10711.33,14049.37,608.2803739406041
10725.84,14049.37,608.249034667562
10740.35,14049.37,608.1800347364551
10754.86,14049.37,608.1371887734304
10769.369999999999,14049.37,608.0957283425863
10783.88,14049.37,608.0547480563151
10798.39,14049.37,608.0138251186686
10812.9,14049.37,607.9729753951123
10827.41,14049.37,607.8565220749202
10841.92,14049.37,607.8194748861872
10856.43,14049.37,607.7858956096949
10870.94,14049.37,607.7566196241639
10885.45,14049.37,607.7326771251016
10899.96,14049.37,607.7149487232371
10914.47,14049.37,607.6373627486225
10928.98,14049.37,607.6305870919164
10943.49,14049.37,607.6269764221711
9507.0,14035.16,614.0272285236055
9521.51,14035.16,614.0114244409779
9536.02,14035.16,613.8924634587141
9550.53,14035.16,613.7361937804473
9565.04,14035.16,613.5956240974153
9579.55,14035.16,613.4767563060918
9594.06,14035.16,613.3630261367938
9608.57,14035.16,613.242695091497
9623.08,14035.16,613.1167748492297
9637.59,14035.16,612.9933407359493
9652.1,14035.16,612.7022439780635
9666.61,14035.16,612.7699148423308
9681.12,14035.16,612.6768490242786
9695.63,14035.16,612.5968324482893
9710.14,14035.16,612.5248162575258
9724.65,14035.16,612.454802184243
9739.16,14035.16,612.3733135315646
9753.67,14035.16,612.2688720849987
9768.18,14035.16,611.8686212674919
9782.69,14035.16,611.4572389559698
9797.2,14035.16,611.2711828917205
9811.71,14035.16,611.0749258832844
9826.22,14035.16,610.2766559211291
9840.73,14035.16,610.0869988412439
9855.24,14035.16,609.9087819900823
9869.75,14035.16,609.7447190633678
9884.26,14035.16,609.1604930165331
9898.77,14035.16,609.078856699592
9913.28,14035.16,609.0147853730934
9927.79,14035.16,608.9673582120513
9942.3,14035.16,608.9356827818661
9956.81,14035.16,608.9182481153235
9971.32,14035.16,608.7526982905612
9985.83,14035.16,608.7744051156697
10000.34,14035.16,608.7688901111119
10014.85,14035.16,608.7326298425301
10029.36,14035.16,608.6805153005778
10043.87,14035.16,608.62927453513
10058.38,14035.16,608.5866587158283
10072.89,14035.16,608.5536561793161
10087.4,14035.16,608.5285751961017
10101.91,14035.16,608.5091832459055
10116.42,14035.16,608.4935274511105
10130.93,14035.16,608.4801664371579
10145.44,14035.16,608.4834321937931
10159.95,14035.16,608.4738118582113
10174.46,14035.16,608.4655479843274
10188.97,14035.16,608.4591404707069
10203.48,14035.16,608.4554499356216
10217.99,14035.16,608.3310673221746
10232.5,14035.16,608.3385461743254
10247.01,14035.16,608.3494909188936
10261.52,14035.16,608.364872885814
10276.03,14035.16,608.3115717703505
10290.54,14035.16,608.3302950507743
10305.05,14035.16,608.3324889774707
10319.56,14035.16,608.3096223243673
10334.07,14035.16,608.1993206790291
10348.58,14035.16,608.1366005258127
10363.09,14035.16,608.1699875178443
10377.6,14035.16,608.1195008497374
10392.11,14035.16,608.0751101639303
10406.62,14035.16,608.0383283761362
10421.13,14035.16,607.9969713137383
10435.64,14035.16,607.9781194877751
10450.15,14035.16,607.9271187728505
10464.66,14035.16,607.9288429067918
10479.17,14035.16,607.9724029442235
10493.68,14035.16,608.0104081541718
10508.19,14035.16,608.1740352054032
10522.7,14035.16,608.0151165723971
10537.21,14035.16,608.0417882864472
10551.72,14035.16,608.0686059917849
10566.23,14035.16,608.0860884680549
10580.74,14035.16,608.1229081971782
10595.25,14035.16,608.1492362926757
10609.76,14035.16,608.1322902726466
10624.27,14035.16,608.1039315809714
